image_id,edit_type,overall_better,identity_preservation,edit_strength,realism,notes
ffhq_sample_0087,glasses,naive,naive,best,naive,
ffhq_sample_0087,facial_hair,best,best,naive,best,
ffhq_sample_0089,glasses,naive,tie,naive,naive,fail
ffhq_sample_0089,facial_hair,best,best,naive,best,
ffhq_sample_0090,glasses,naive,naive,best,naive,
ffhq_sample_0090,facial_hair,best,best,naive,best,semi-fail
ffhq_sample_0092,glasses,tie,tie,naive,tie,semi-fail
ffhq_sample_0092,facial_hair,best,best,naive,best,
ffhq_sample_0094,glasses,naive,naive,best,naive,
ffhq_sample_0094,facial_hair,naive,naive,best,naive,
ffhq_sample_0095,glasses,best,naive,best,tie,
ffhq_sample_0095,facial_hair,naive,naive,best,naive,fail
ffhq_sample_0096,glasses,naive,naive,best,naive,
ffhq_sample_0096,facial_hair,best,best,naive,best,semi-fail
ffhq_sample_0099,glasses,naive,naive,best,naive,
ffhq_sample_0099,facial_hair,naive,naive,best,naive,
ffhq_sample_0101,glasses,naive,naive,best,naive,
ffhq_sample_0101,facial_hair,best,best,naive,best,
ffhq_sample_0103,glasses,naive,tie,best,naive,
ffhq_sample_0103,facial_hair,best,naive,naive,best,
ffhq_sample_0108,glasses,naive,naive,best,naive,
ffhq_sample_0108,facial_hair,naive,naive,best,tie,fail
ffhq_sample_0109,glasses,naive,naive,best,naive,
ffhq_sample_0109,facial_hair,naive,naive,best,tie,fail
ffhq_sample_0113,glasses,naive,naive,best,naive,
ffhq_sample_0113,facial_hair,tie,tie,tie,tie,fail
ffhq_sample_0114,glasses,naive,naive,best,naive,
ffhq_sample_0114,facial_hair,best,best,naive,best,
ffhq_sample_0116,glasses,best,tie,best,best,
ffhq_sample_0116,facial_hair,naive,tie,naive,tie,fail
ffhq_sample_0118,glasses,naive,naive,best,naive,
ffhq_sample_0118,facial_hair,naive,naive,best,naive,fail
ffhq_sample_0125,glasses,naive,naive,best,naive,
ffhq_sample_0125,facial_hair,naive,naive,best,naive,
ffhq_sample_0126,glasses,naive,naive,best,naive,semi-fail
ffhq_sample_0126,facial_hair,naive,naive,best,naive,
ffhq_sample_0128,glasses,naive,naive,best,naive,
ffhq_sample_0128,facial_hair,best,best,naive,best,
ffhq_sample_0136,glasses,naive,naive,naive,naive,semi-fail
ffhq_sample_0136,facial_hair,naive,tie,naive,naive,
ffhq_sample_0138,glasses,naive,naive,best,naive,
ffhq_sample_0138,facial_hair,best,best,naive,best,
ffhq_sample_0140,glasses,best,tie,best,best,
ffhq_sample_0140,facial_hair,best,best,naive,naive,
ffhq_sample_0142,glasses,naive,tie,best,naive,
ffhq_sample_0142,facial_hair,naive,naive,naive,tie,semi-fail
ffhq_sample_0144,glasses,naive,naive,best,naive,
ffhq_sample_0144,facial_hair,tie,tie,tie,tie,fail
ffhq_sample_0145,glasses,naive,naive,best,naive,
ffhq_sample_0145,facial_hair,best,best,naive,best,
ffhq_sample_0146,glasses,naive,naive,best,naive,
ffhq_sample_0146,facial_hair,best,best,naive,best,
ffhq_sample_0150,glasses,naive,naive,best,naive,semi-fail
ffhq_sample_0150,facial_hair,best,best,naive,best,
ffhq_sample_0151,glasses,naive,naive,best,naive,
ffhq_sample_0151,facial_hair,best,best,naive,best,
ffhq_sample_0154,glasses,tie,tie,best,tie,
ffhq_sample_0154,facial_hair,best,best,naive,best,
ffhq_sample_0155,glasses,naive,naive,best,naive,
ffhq_sample_0155,facial_hair,best,best,naive,best,
ffhq_sample_0158,glasses,naive,naive,best,naive,
ffhq_sample_0158,facial_hair,best,best,naive,best,
ffhq_sample_0159,glasses,naive,naive,best,naive,
ffhq_sample_0159,facial_hair,best,best,naive,best,
ffhq_sample_0162,glasses,naive,naive,best,naive,
ffhq_sample_0162,facial_hair,best,tie,naive,best,
ffhq_sample_0163,glasses,naive,naive,best,naive,
ffhq_sample_0163,facial_hair,best,best,naive,best,semi-fail
ffhq_sample_0164,glasses,naive,naive,best,naive,
ffhq_sample_0164,facial_hair,best,naive,naive,best,semi-fail
ffhq_sample_0165,glasses,naive,naive,best,naive,
ffhq_sample_0165,facial_hair,best,best,naive,best,
ffhq_sample_0166,glasses,tie,tie,tie,tie,
ffhq_sample_0166,facial_hair,best,best,naive,best,
ffhq_sample_0169,glasses,naive,naive,best,naive,
ffhq_sample_0169,facial_hair,naive,naive,best,naive,fail
ffhq_sample_0173,glasses,naive,naive,tie,naive,semi-fail
ffhq_sample_0173,facial_hair,best,best,naive,best,
ffhq_sample_0175,glasses,naive,naive,best,naive,
ffhq_sample_0175,facial_hair,best,tie,naive,best,
ffhq_sample_0177,glasses,naive,naive,best,naive,
ffhq_sample_0177,facial_hair,best,best,naive,best,
ffhq_sample_0178,glasses,naive,tie,best,naive,
ffhq_sample_0178,facial_hair,best,best,naive,best,
ffhq_sample_0181,glasses,naive,naive,best,naive,
ffhq_sample_0181,facial_hair,best,best,naive,best,
ffhq_sample_0185,glasses,naive,naive,best,naive,
ffhq_sample_0185,facial_hair,best,best,naive,best,
ffhq_sample_0188,glasses,naive,naive,best,naive,
ffhq_sample_0188,facial_hair,naive,naive,best,naive,semi-fail
ffhq_sample_0191,glasses,naive,naive,best,naive,
ffhq_sample_0191,facial_hair,best,best,naive,best,
ffhq_sample_0193,glasses,naive,naive,best,naive,
ffhq_sample_0193,facial_hair,naive,naive,best,naive,fail
ffhq_sample_0196,glasses,naive,naive,best,naive,
ffhq_sample_0196,facial_hair,best,best,naive,best,
ffhq_sample_0197,glasses,naive,naive,best,naive,
ffhq_sample_0197,facial_hair,best,best,naive,best,
ffhq_sample_0198,glasses,naive,naive,best,naive,
ffhq_sample_0198,facial_hair,naive,naive,tie,naive,fail
